actual,prediction
5,4.035176436944005
33,26.34428573498105
154,112.60476351700191
450,350.7457452266675
634,556.6597102501333
257,297.49011358710027
183,229.3004773339447
197,244.21672558163476
237,276.99951819369113
239,300.3824305174883
238,304.6911080371445
256,336.1568129712914
393,508.3514302108887
781,729.6312010812916
710,668.168453342052
526,480.3114760194314
204,331.769172730109
71,241.75981103850444
55,160.543896050586
50,89.29514413388573
36,48.593613170448265
4,23.871683525206056
5,9.222649239273027
5,5.865898764887715
6,9.994699535776745
41,27.051549348366517
144,100.08321906717838
483,279.3363926853006
671,441.481366091919
305,272.6031912289851
177,88.1996666411215
208,106.6028262565574
253,112.16981545759853
289,104.58675107468783
252,92.95700873099791
275,114.31428350826445
398,188.8234689256677
839,284.99687090120585
796,408.1117358936455
556,377.00852967085484
431,255.05106238922392
304,154.55772807206006
217,98.16705297277112
160,58.86157396022616
61,26.26695121124341
26,9.488882927939043
14,5.763173019416247
8,4.2769124628558925
8,6.347538660440543
33,31.65107429612139
178,139.88236013313968
507,418.8833452078421
693,686.8306247330032
311,315.52961304996694
220,177.24973258760596
218,224.97333441556142
292,283.91794388852867
293,287.1466891166389
254,234.39062338971712
290,291.986839402708
487,421.43177484243034
827,770.8856928167223
785,797.7849897165663
591,516.8637289621175
479,395.48000777938495
359,297.7892748564157
264,223.36915365624535
140,136.97606916364566
86,72.50712082053829
34,36.58789110714578
16,17.585066910085555
4,7.278130239168124
6,6.9699515171863435
45,28.556429196505007
141,136.14087131081635
402,424.5584014051781
694,614.2891977405778
298,322.3957704805989
204,189.40969179049992
235,229.72351218845316
310,295.60359600544234
316,304.40295234986365
254,310.4630080547865
258,378.2998733247815
222,596.7389798627075
227,686.2104929133612
110,604.8202235073497
45,539.3220462678535
39,412.8075598475881
85,346.4908839582999
23,261.41364932186474
73,169.75665408150113
86,114.71870152709424
76,86.84882515194651
41,62.659186389828896
26,31.35122210330137
13,9.092931229117376
12,13.596706131417971
36,39.127300393145866
86,85.34715696849567
210,212.39513082045465
332,308.59337100724576
493,387.7759947610933
536,483.900884725595
668,482.6108586576933
679,476.8760512266747
647,456.94259730801105
702,467.79450588469103
644,478.269200437131
586,485.6444201390885
512,449.27445267601354
554,353.30564047019527
399,258.23055820514224
316,213.5293910155519
228,182.99449295822862
238,137.34038171692464
169,108.24625438754218
121,83.19891999596585
89,61.54739997040589
50,32.07988620195459
13,28.499349380216394
12,20.243338903381016
22,60.855383259877605
35,114.2412491918631
140,290.42511763984845
300,320.6321487162811
404,384.2645176506324
511,522.9299687470811
684,570.0815659458717
686,566.8544849467695
678,526.4311957944651
644,507.9148425907092
662,469.26088872757845
578,505.0221393048585
496,452.5889157425978
453,372.79587697423676
314,301.9544799895785
246,234.249460097945
226,206.6363501798336
108,203.9965314692908
49,168.06765904325636
14,109.48939004299072
11,57.369195585979455
5,30.027551734858015
8,7.692993579970311
35,24.800503879149286
139,110.99921595151334
517,323.48278636242514
665,436.7714982871161
282,264.0305555568276
187,281.8315026925035
239,309.17708521094204
282,502.55257038393773
274,588.7547742288602
270,630.1859230339529
292,589.468694106134
448,563.7003321852509
834,572.5459739139353
822,528.2676980575377
645,445.408092420452
461,326.011913384245
265,232.33217511258664
168,173.97734099146507
86,105.03514945062021
34,44.03044849971308
20,21.54381122579397
8,7.048145573073113
5,5.518910580570106
5,6.658065668503825
36,24.51834942027997
184,110.12038059061219
569,292.16389695596473
710,464.536185279545
335,266.2217875840471
176,87.45449969624234
227,104.74556530864167
247,126.26630460415379
267,127.65404460593966
276,123.74883464122072
272,150.00920147762244
473,270.0381223319634
850,424.0110520401089
790,516.6720104007951
513,407.8776516656732
415,234.81398578467142
283,139.90873494481036
193,100.41166881057285
113,61.4281048163303
49,26.203506730295068
27,9.66586319891442
11,5.787034708760365
8,4.4003765834189394
10,6.211876781810131
38,31.229492877412277
172,147.13564069706712
547,444.4548545244747
668,647.8790638926109
303,290.129997060637
203,160.436572369395
226,208.98881851229874
315,258.57758253293554
303,263.38047995517167
302,251.17623958954286
300,275.176189746659
452,364.9375970086072
724,702.4531944715181
782,645.3843670680376
538,450.12674789625044
408,283.9404543299638
298,204.81945726427733
248,158.80357763311028
123,105.74799192168284
59,56.383300573799986
22,27.64021656002067
12,10.392378344541271
5,6.543265326843663
6,6.660950603782853
34,30.8212903535404
170,146.6789569451035
526,443.7202533058092
681,673.1650337167706
337,319.8399581625294
210,177.670192906559
237,231.3531625002689
336,298.91343026333266
315,281.7705398273585
265,234.60148599100904
333,278.1921698918495
466,387.8283932058831
